Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
62,Mass Effect 2,https://www.imdb.com/title/tt1540125/?ref_=adv_li_tt,2010.0,M,9.5,19912.0,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.",True,True,False,False,False,False,False,False,False
63,Metal Gear Solid V: The Phantom Pain,https://www.imdb.com/title/tt2370518/?ref_=adv_li_tt,2015.0,M,8.8,7477.0,"After awakening from a nine year coma, Big Boss forms a new mercenary group called, Diamond Dogs, and teams up with his former rival, Ocelot, to track down the men responsible for the destruction of MSF.",True,True,False,False,False,False,False,False,False
64,Apex Legends,https://www.imdb.com/title/tt9730966/?ref_=adv_li_tt,2019.0,T,7.4,2804.0,Master an ever-growing roster of legendary characters with powerful abilities and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.,True,True,False,False,False,False,False,True,False
66,Tomb Raider,https://www.imdb.com/title/tt1797530/?ref_=adv_li_tt,2013.0,M,8.8,18376.0,"Armed with only the raw instincts and physical ability, experience Lara Croft's intense origin story from a young woman to a hardened survivor.",True,True,False,False,False,True,False,False,False
67,Ghost Recon: Wildlands,https://www.imdb.com/title/tt6528196/?ref_=adv_li_tt,2017.0,M,7.6,1788.0,"Bolivia 2019, the Santa Blanca Cartel has gained too much power. ""The Ghosts"" are sent in to get rid of them.",True,True,False,True,False,False,False,False,False
68,Dying Light 2: Stay Human,https://www.imdb.com/title/tt8545514/?ref_=adv_li_tt,2022.0,M,7.9,1021.0,"Fifteen years after the virus in Harran, the infected world is plunged into a modern dark age, where players deal with bandits and factions during the day and the infected at night.",True,True,False,False,False,False,False,False,False
69,Kingdom Hearts III,https://www.imdb.com/title/tt2973418/?ref_=adv_li_tt,2019.0,E10+,8.2,2066.0,"Believing light and darkness must remain in balance, Master Xehanort seeks to spark war against the ""tyranny of light"" to restore equilibrium.",True,True,False,False,True,False,False,False,False
70,Saints Row: The Third,https://www.imdb.com/title/tt2124034/?ref_=adv_li_tt,2011.0,M,8.1,6103.0,"After the Saints have transformed from a small town street gang to pop culture giants, they decide to take over another city called Steelport.",True,False,True,True,False,False,False,False,False
71,Cuphead,https://www.imdb.com/title/tt4779924/?ref_=adv_li_tt,2017.0,E,8.6,2720.0,An anthropomorphic cup embarks on a journey and fights a series of bosses to repay a debt to the devil.,True,True,False,False,False,False,False,False,False
72,Poppy Playtime,https://www.imdb.com/title/tt15764858/?ref_=adv_li_tt,2021.0,T,6.9,489.0,"In this horror/puzzle adventure, You must survive the vengeful toys waiting for you in the abandoned toy factory, Use your GrabPack and Explore the mysterious facility.. and don't get caught.",True,True,False,False,False,False,False,False,False
73,Control,https://www.imdb.com/title/tt8585800/?ref_=adv_li_tt,2019.0,M,8.1,3708.0,"You are Jesse Faden, a young woman with a troubled past. You become the new Director of the Bureau of Control - Our frontline in researching and fighting against supernatural enemies like the Hiss threatening our very existence.",True,True,False,False,False,False,False,False,False
